"Buurten";"Gem. besteedbaar gestandaardiseerd part. huishoudens inkomen|2015";"Gem. besteedbaar gestandaardiseerd part. huishoudens inkomen|2016";"Gem. besteedbaar gestandaardiseerd part. huishoudens inkomen|2017"
"01 Oud Scheveningen";25600;26200;26000
"02 Vissershaven";26000;27400;30300
"03 Scheveningen Badplaats";30900;31800;33300
"04 Visserijbuurt";27600;28800;29900
"05 v Stolkpark/Schev Bosjes";58600;57100;68700
"06 Waldeck-Zuid";24400;24800;25200
"07 Statenkwartier";45100;46900;48900
"08 Geuzenkwartier";27500;28300;29000
"09 Vogelwijk";48200;50700;52400
"10 Rond de Energiecentrale";23300;23900;24500
"11 Kortenbos";26700;27700;28000
"12 Voorhout";"";42500;41600
"13 Uilebomen";27800;30300;31200
"14 Zuidwal";23300;23800;24600
"15 Schildersbuurt-West";17900;18600;19400
"16 Schildersbuurt-Noord";17800;18500;19300
"17 Schildersbuurt-Oost";17700;18500;19300
"18 Huygenspark";21200;21800;22000
"19 Laakhaven-Oost";21300;22100;22300
"20 Moerwijk-Oost";17500;18200;18800
"21 Groente- en Fruitmarkt";19900;21000;22000
"22 Laakhaven-West";19000;19300;20500
"23 Spoorwijk";20700;21400;22400
"24 Laakkwartier-West";21200;21800;22600
"25 Laakkwartier-Oost";21200;22000;22500
"26 Noordpolderbuurt";18800;19700;20400
"30 Rustenburg";22600;23500;24100
"31 Oostbroek-Noord";22400;23200;24200
"32 Transvaalkwartier-Noord";17600;18400;19000
"33 Transvaalkwartier-Midden";19000;19600;20400
"34 Transvaalkwartier-Zuid";18900;19600;20500
"35 Oostbroek-Zuid";21100;21900;23100
"36 Zuiderpark";18400;19300;19600
"37 Moerwijk-West";17700;18100;18400
"38 Moerwijk-Noord";19900;20900;21500
"39 Moerwijk-Zuid";18600;19300;20200
"40 Nieuw Waldeck";22600;23300;23700
"41 Zorgvliet";67600;63900;59000
"42 Stadhoudersplantsoen";32200;32600;34100
"43 Sweelinckplein eo";30700;38900;38200
"44 Koningsplein eo";27400;28700;29400
"45 Zeeheldenkwartier";27800;28700;30000
"46 Archipelbuurt";46400;54100;53900
"47 Willemspark";40500;43800;42300
"48 Nassaubuurt";55800;57800;65700
"49 Haagse Bos";33100;34100;36400
"50 Bloemenbuurt-West";33300;34800;35800
"51 Bloemenbuurt-Oost";29900;30600;31400
"52 Bomenbuurt";29700;30700;31300
"53 Vruchtenbuurt";32200;33300;34200
"54 Heesterbuurt";24000;24700;25200
"55 Valkenboskwartier";24600;25600;26200
"60 Binckhorst";18600;9200;17500
"61 Landen";23100;23900;24700
"62 Rivierenbuurt-Zuid";19700;21000;20500
"63 Rivierenbuurt-Noord";25100;26700;28000
"64 Bezuidenhout-West";24800;26300;26000
"65 Bezuidenhout-Midden";37200;37300;38800
"66 Bezuidenhout-Oost";30900;31300;32200
"67 Kampen";23400;23800;24000
"68 Marlot";67400;63900;64700
"69 Burgen en Horsten";25300;25900;26200
"70 Oostduinen";"";"";""
"71 Belgisch Park";36400;37100;38100
"72 Rijslag";30900;32700;34000
"73 Westbroekpark";52700;51500;58900
"74 Duttendel";54800;61600;80900
"75 Uilennest";40000;41100;40400
"76 Duinzigt";46700;45500;47900
"77 Waalsdorp";51200;51500;59100
"78 Arendsdorp";52300;56300;58100
"79 v Hoytemastraat eo";44600;44400;46400
"80 Morgenstond-Zuid";19300;19900;20600
"81 Bosjes van Pex";35500;35600;40200
"82 Rosenburg";24700;25300;26200
"83 Eykenduynen";29400;30300;31300
"84 Leyenburg";25200;25900;26500
"85 Kerketuinen/Zichtenburg";"";"";""
"86 Houtwijk";27500;28100;28600
"87 Venen/Oorden/Raden";19700;20400;20900
"88 Morgenstond-West";22800;23600;24700
"89 Morgenstond-Oost";19600;20000;20600
"90 Ockenburgh";49700;56600;59500
"91 Kijkduin";40000;41100;45200
"92 Bohemen/Meer en Bos";30400;30600;31100
"93 Componistenbuurt";32000;33200;33700
"94 Waldeck-Noord";28200;28200;28600
"95 Kom Loosduinen";23900;24300;25100
"96 Zijden/Steden/Zichten";20700;21100;21600
"97 Kraayenstein & Vroondaal";31600;33600;34400
"98 Dreven en Gaarden";21100;21600;22000
"99 De Uithof";22500;23300;25300
"100 Duindorp";23700;24300;25000
"101 Erasmus Veld";28800;30900;31300
"102 Hoge Veld";29200;30600;31500
"103 Parkbuurt Oosteinde";38800;40200;42500
"104 Lage Veld";28800;29600;30400
"105 Zonne Veld";29800;31000;32600
"106 Vlietzoom-West";"";"";""
"107 Vliegeniersbuurt";"";"";""
"108 Bosweide";53000;57900;60300
"109 Tedingerbroek";"";"";""
"110 De Reef";"";"";""
"111 De Venen";27600;28000;28900
"112 Morgenweide";30100;31300;31800
"113 Singels";30000;31400;31800
"114 Waterbuurt";28700;30000;30100
"115 De Bras";34400;37100;35900
"116 Vlietzoom-Oost";"";"";""
"117 De Rivieren";"";"";""
"118 De Lanen";32000;33400;34200
"119 De Velden";32800;34000;34900
"120 De Vissen";32200;33600;34700
"121 Rietbuurt";31300;32800;34200
"Onbekend";-3116200;-3265;-3407
