"Buurten";"Afstand tot attractie|2013";"Aantal attracties binnen 10 km|2013"
"01 Oud Scheveningen";1,2;5
"02 Vissershaven";2,1;5
"03 Scheveningen Badplaats";0,8;5
"04 Visserijbuurt";1,3;5
"05 v Stolkpark/Schev Bosjes";1,3;5
"06 Waldeck-Zuid";2,7;6
"07 Statenkwartier";2,2;5
"08 Geuzenkwartier";2,4;5
"09 Vogelwijk";4,4;6
"10 Rond de Energiecentrale";3,0;6
"11 Kortenbos";2,6;6
"12 Voorhout";2,3;8
"13 Uilebomen";2,1;7
"14 Zuidwal";2,1;7
"15 Schildersbuurt-West";1,8;6
"16 Schildersbuurt-Noord";1,5;7
"17 Schildersbuurt-Oost";1,1;7
"18 Huygenspark";1,6;7
"19 Laakhaven-Oost";0,8;7
"20 Moerwijk-Oost";2,5;6
"21 Groente- en Fruitmarkt";1,9;6
"22 Laakhaven-West";0,8;7
"23 Spoorwijk";2,0;7
"24 Laakkwartier-West";1,7;7
"25 Laakkwartier-Oost";1,1;7
"26 Noordpolderbuurt";1,4;7
"30 Rustenburg";3,6;6
"31 Oostbroek-Noord";3,2;6
"32 Transvaalkwartier-Noord";2,7;6
"33 Transvaalkwartier-Midden";2,4;6
"34 Transvaalkwartier-Zuid";2,1;6
"35 Oostbroek-Zuid";2,8;6
"36 Zuiderpark";3,1;6
"37 Moerwijk-West";2,9;6
"38 Moerwijk-Noord";2,2;6
"39 Moerwijk-Zuid";3,3;6
"40 Nieuw Waldeck";3,2;7
"41 Zorgvliet";2,2;6
"42 Stadhoudersplantsoen";2,7;6
"43 Sweelinckplein eo";3,0;6
"44 Koningsplein eo";3,4;6
"45 Zeeheldenkwartier";2,6;6
"46 Archipelbuurt";1,3;6
"47 Willemspark";1,8;7
"48 Nassaubuurt";2,0;7
"49 Haagse Bos";3,4;7
"50 Bloemenbuurt-West";4,9;6
"51 Bloemenbuurt-Oost";4,3;6
"52 Bomenbuurt";3,6;6
"53 Vruchtenbuurt";4,6;6
"54 Heesterbuurt";4,2;6
"55 Valkenboskwartier";3,7;6
"60 Binckhorst";1,8;7
"61 Landen";5,4;6
"62 Rivierenbuurt-Zuid";1,7;7
"63 Rivierenbuurt-Noord";1,8;7
"64 Bezuidenhout-West";2,7;7
"65 Bezuidenhout-Midden";3,0;8
"66 Bezuidenhout-Oost";3,5;7
"67 Kampen";4,3;6
"68 Marlot";5,9;6
"69 Burgen en Horsten";4,8;6
"70 Oostduinen";"-";"-"
"71 Belgisch Park";1,1;5
"72 Rijslag";1,0;5
"73 Westbroekpark";0,6;6
"74 Duttendel";1,1;5
"75 Uilennest";3,1;6
"76 Duinzigt";2,3;6
"77 Waalsdorp";1,5;6
"78 Arendsdorp";1,9;7
"79 v Hoytemastraat eo";2,5;7
"80 Morgenstond-Zuid";3,6;6
"81 Bosjes van Pex";4,7;6
"82 Rosenburg";3,9;7
"83 Eykenduynen";4,2;7
"84 Leyenburg";3,6;6
"85 Kerketuinen/Zichtenburg";1,4;7
"86 Houtwijk";2,6;7
"87 Venen/Oorden/Raden";1,6;7
"88 Morgenstond-West";2,9;6
"89 Morgenstond-Oost";3,3;6
"90 Ockenburgh";2,9;6
"91 Kijkduin";4,5;6
"92 Bohemen/Meer en Bos";4,1;7
"93 Componistenbuurt";3,9;7
"94 Waldeck-Noord";3,3;6
"95 Kom Loosduinen";2,4;7
"96 Zijden/Steden/Zichten";1,8;7
"97 Kraayenstein & Vroondaal";2,0;6
"98 Dreven en Gaarden";2,5;6
"99 De Uithof";2,1;5
"100 Duindorp";3,5;6
"101 Erasmus Veld";2,9;6
"102 Hoge Veld";2,3;5
"103 Parkbuurt Oosteinde";1,8;5
"104 Lage Veld";1,6;4
"105 Zonne Veld";1,5;4
"106 Vlietzoom-West";0,7;6
"107 Vliegeniersbuurt";"-";"-"
"108 Bosweide";2,7;6
"109 Tedingerbroek";"-";"-"
"110 De Reef";"-";"-"
"111 De Venen";4,9;4
"112 Morgenweide";3,3;6
"113 Singels";3,0;5
"114 Waterbuurt";3,6;4
"115 De Bras";4,6;4
"116 Vlietzoom-Oost";2,7;6
"117 De Rivieren";4,3;6
"118 De Lanen";4,7;5
"119 De Velden";4,8;5
"120 De Vissen";4,8;5
"121 Rietbuurt";5,5;4
