Buurtcode,2020
01,10.5
02,-14.5
03,30.5
04,2.3
05,-24.1
06,-9.0
07,14.2
08,6.9
09,0.9
10,28.6
11,35.8
12,9.4
13,23.6
14,34.6
15,101.5
16,68.8
17,36.2
18,41.0
19,32.9
20,35.5
21,63.7
22,50.3
23,36.2
24,78.7
25,129.5
26,67.9
30,64.9
31,57.4
32,30.7
33,30.1
34,51.9
35,104.3
36,-3.3
37,57.6
38,82.9
39,79.3
40,-15.2
41,-0.4
42,11.0
43,54.3
44,76.8
45,73.9
46,11.5
47,6.3
48,7.5
49,-17.8
50,-14.6
51,32.7
52,19.4
53,22.4
54,62.6
55,90.9
60,5.4
61,10.9
62,5.7
63,24.2
64,23.6
65,45.8
66,105.7
67,9.2
68,1.2
69,-14.4
70,0.0
71,-29.2
72,-5.3
73,-19.0
74,-19.6
75,-19.4
76,-67.9
77,13.3
78,-36.9
79,30.0
80,76.8
81,-0.2
82,-58.7
83,18.0
84,48.3
85,-0.4
86,-29.1
87,40.8
88,64.0
89,62.7
90,-0.3
91,-11.1
92,-45.9
93,-4.4
94,-68.3
95,-57.4
96,85.0
97,8.9
98,30.1
99,-15.1
100,40.6
101,-65.5
102,88.4
103,8.6
104,23.7
105,33.7
106,-0.2
107,0.0
108,12.0
109,0.0
110,0.0
111,34.0
112,99.6
113,44.1
114,65.7
115,66.7
116,-0.3
117,-0.1
118,88.8
119,37.1
120,19.7
121,52.3
