"Buurten";"Gem. persoonlijk 52 weken inkomen individuen|2010";"Gem. persoonlijk 52 weken inkomen individuen|2011";"Gem. persoonlijk 52 weken inkomen individuen|2012";"Gem. persoonlijk 52 weken inkomen individuen|2013";"Gem. persoonlijk 52 weken inkomen individuen|2014";"Gem. persoonlijk 52 weken inkomen individuen|2015";"Gem. persoonlijk 52 weken inkomen individuen|2016";"Gem. persoonlijk 52 weken inkomen individuen|2017"
"01 Oud Scheveningen";28100;29200;28200;29600;28300;29600;30000;30000
"02 Vissershaven";28300;28700;29600;30300;29800;29500;31300;34500
"03 Scheveningen Badplaats";35000;35900;36000;36400;35000;35500;36400;38200
"04 Visserijbuurt";31600;32100;32800;33100;33000;32700;34000;35700
"05 v Stolkpark/Schev Bosjes";68400;70200;75600;78000;75200;77400;74300;85700
"06 Waldeck-Zuid";27000;27300;27100;27600;26300;26900;27200;27500
"07 Statenkwartier";55700;57100;57300;58400;57800;59700;60400;63100
"08 Geuzenkwartier";30600;31100;31400;31400;30700;31600;32300;33100
"09 Vogelwijk";57300;59400;60700;62400;59800;60100;61600;63700
"10 Rond de Energiecentrale";24600;25200;26200;27500;26300;27000;27300;27900
"11 Kortenbos";31300;31600;31700;32700;32000;32000;32700;33200
"12 Voorhout";49600;50900;50700;51700;49600;52700;52100;54000
"13 Uilebomen";32800;32700;34100;35100;34900;35000;37300;39400
"14 Zuidwal";27500;27500;28100;28500;27600;27900;28000;29300
"15 Schildersbuurt-West";19800;20000;20000;19800;17900;17900;18300;19200
"16 Schildersbuurt-Noord";19600;19400;19500;19700;18000;18000;18400;19200
"17 Schildersbuurt-Oost";19400;19600;19500;19300;17100;17200;17600;18600
"18 Huygenspark";23200;24000;24000;24100;21300;21200;21900;22100
"19 Laakhaven-Oost";24200;24200;24000;24300;23000;21900;23100;22900
"20 Moerwijk-Oost";21500;22000;21300;21300;20000;19900;20700;21100
"21 Groente- en Fruitmarkt";24200;24200;24000;23700;21200;21100;21600;22600
"22 Laakhaven-West";22700;22800;23000;23100;21200;20600;20600;21900
"23 Spoorwijk";23400;23700;24500;24600;22300;22600;22700;23800
"24 Laakkwartier-West";23800;24100;24000;24400;22500;22800;23200;23700
"25 Laakkwartier-Oost";24000;24400;24300;24400;22600;22800;23200;23800
"26 Noordpolderbuurt";21000;21300;21200;21200;19400;19400;19900;20600
"30 Rustenburg";26000;25800;25800;25900;24400;24700;25200;25800
"31 Oostbroek-Noord";26300;26100;26000;25800;24200;24500;25200;25900
"32 Transvaalkwartier-Noord";18600;18600;18900;18600;17200;18100;18600;19100
"33 Transvaalkwartier-Midden";20000;20900;21600;21800;19900;20000;20800;21600
"34 Transvaalkwartier-Zuid";21200;21900;21500;21700;19500;19800;20300;21100
"35 Oostbroek-Zuid";24600;25000;24800;24800;23000;22800;23300;23900
"36 Zuiderpark";20500;19700;20400;20600;20700;19900;21100;20600
"37 Moerwijk-West";21000;21100;21000;21000;19500;19400;19600;19800
"38 Moerwijk-Noord";23300;23700;23600;23600;22100;22000;22500;23200
"39 Moerwijk-Zuid";21800;22400;22400;22500;21700;21700;22700;23800
"40 Nieuw Waldeck";25300;25500;25700;26100;24800;24700;25300;25800
"41 Zorgvliet";79600;86200;80300;85400;86100;88000;76200;74400
"42 Stadhoudersplantsoen";39400;41000;41300;41800;41000;41800;42300;43700
"43 Sweelinckplein eo";47400;49100;49600;51600;49700;44400;52300;52400
"44 Koningsplein eo";32900;33100;33600;34100;32800;33800;35100;35700
"45 Zeeheldenkwartier";34500;35300;35400;36300;35200;35700;36000;37500
"46 Archipelbuurt";61200;63100;63300;64400;63400;66900;71100;73800
"47 Willemspark";53800;56800;59800;54700;54500;57000;60400;59900
"48 Nassaubuurt";74700;78600;76400;73500;74400;76900;80500;90600
"49 Haagse Bos";39700;41500;40400;42900;41400;43900;48000;52900
"50 Bloemenbuurt-West";38900;39100;39300;41100;38900;39100;40600;42100
"51 Bloemenbuurt-Oost";33600;34200;34600;35200;34200;34900;35300;36000
"52 Bomenbuurt";34300;35500;35800;35800;34700;35100;36100;36700
"53 Vruchtenbuurt";38100;38800;39300;39600;38000;38500;39600;40000
"54 Heesterbuurt";27600;28100;28500;28700;27700;27900;28300;29000
"55 Valkenboskwartier";28500;28500;28800;28900;27700;28200;29100;29900
"60 Binckhorst";22600;24100;22200;21200;20100;20900;12000;15800
"61 Landen";27600;27400;27700;27800;27100;27200;27700;29100
"62 Rivierenbuurt-Zuid";24400;22900;22600;23900;22700;21700;23300;22400
"63 Rivierenbuurt-Noord";27600;29100;30100;31100;29900;30400;32500;34300
"64 Bezuidenhout-West";27100;28600;29500;29400;27800;27300;28600;29700
"65 Bezuidenhout-Midden";46000;47100;48000;48300;47400;48500;48900;50500
"66 Bezuidenhout-Oost";36400;37000;37500;38300;38300;39000;38900;39800
"67 Kampen";28100;28500;27800;28200;27200;27200;27800;27800
"68 Marlot";92300;86100;84100;87200;99300;89900;87300;90100
"69 Burgen en Horsten";29500;29800;30400;30800;29900;30600;31100;31100
"70 Oostduinen";"-";"-";"-";"-";"";"";"";""
"71 Belgisch Park";41400;42700;42900;43900;41200;42500;43700;45200
"72 Rijslag";39100;40200;40500;40400;39000;39500;39900;43200
"73 Westbroekpark";69900;69900;68900;63400;65000;66400;63200;80600
"74 Duttendel";70700;70100;69900;68500;68100;73600;71300;82500
"75 Uilennest";48900;50700;50100;51000;50800;52300;53700;52500
"76 Duinzigt";50700;50900;51100;52300;51200;52200;53000;57900
"77 Waalsdorp";65200;68800;69400;71500;72100;71300;71500;73300
"78 Arendsdorp";66700;68400;70300;71000;70300;74600;80900;80100
"79 v Hoytemastraat eo";57000;59000;59900;60300;60800;61100;60100;63000
"80 Morgenstond-Zuid";22600;22700;22800;22700;21500;21700;22000;23100
"81 Bosjes van Pex";40900;41200;43900;43000;39600;41300;41500;45500
"82 Rosenburg";28100;29000;28500;29100;28200;28600;29100;30300
"83 Eykenduynen";33600;34300;34300;34800;33900;34300;35000;35600
"84 Leyenburg";28100;28400;28700;29000;28000;28000;28400;29000
"85 Kerketuinen/Zichtenburg";"-";0;0;"-";0;"";"";""
"86 Houtwijk";30500;30700;30800;31200;29600;30000;30300;30700
"87 Venen/Oorden/Raden";22400;22800;23000;23000;21300;21600;21900;22400
"88 Morgenstond-West";26400;27100;27500;27400;26200;26000;26700;27700
"89 Morgenstond-Oost";23400;23600;23700;23900;23100;23000;23100;23800
"90 Ockenburgh";49900;52500;53600;54500;51600;52000;56200;60200
"91 Kijkduin";43700;45400;45400;46100;46100;45500;44900;51200
"92 Bohemen/Meer en Bos";35800;35700;36200;36200;35500;35800;36100;36600
"93 Componistenbuurt";37400;37200;38000;37500;36400;37000;38400;38500
"94 Waldeck-Noord";32200;32800;32900;32300;31800;32100;32400;32800
"95 Kom Loosduinen";26700;27100;26900;27400;26800;26900;27000;27600
"96 Zijden/Steden/Zichten";23700;24100;24100;24200;22700;22800;22900;23400
"97 Kraayenstein & Vroondaal";35900;37100;37500;37800;36200;37200;37700;40000
"98 Dreven en Gaarden";23500;24100;24200;24200;23100;22900;23200;23800
"99 De Uithof";24900;25200;25300;25300;26100;26700;27900;32000
"100 Duindorp";26400;27000;27200;28000;26900;27300;27700;28400
"101 Erasmus Veld";32000;32700;33000;34500;32200;32500;33600;34400
"102 Hoge Veld";34200;35000;35800;36100;34300;34900;35800;36900
"103 Parkbuurt Oosteinde";45600;47000;46000;46000;43200;43600;44700;46700
"104 Lage Veld";32500;32700;33000;33600;31500;31900;31900;32500
"105 Zonne Veld";34500;34800;35500;35800;32700;33200;33500;34400
"106 Vlietzoom-West";40200;42400;53900;50200;45800;46800;45700;42300
"107 Vliegeniersbuurt";"-";"-";"-";"-";"";"";"";""
"108 Bosweide";66900;71000;69100;71200;67400;67700;68600;71700
"109 Tedingerbroek";"-";"-";"-";"-";"";"";"";""
"110 De Reef";"-";"-";"-";"-";"";"";"";""
"111 De Venen";33700;36600;37800;34100;33300;35500;35500;35800
"112 Morgenweide";36100;36500;37400;37400;35600;35800;37100;36800
"113 Singels";35900;36300;36400;36700;34600;34900;35900;36600
"114 Waterbuurt";34500;35300;35100;36400;34500;34200;34900;34700
"115 De Bras";41900;42400;43000;43600;41500;41800;43500;43300
"116 Vlietzoom-Oost";34800;39100;39600;"-";0;46400;42400;52400
"117 De Rivieren";"-";0;0;"-";0;"";"";""
"118 De Lanen";37100;38400;38400;39000;37600;38400;38800;39200
"119 De Velden";36900;37600;38500;39200;37300;37600;38600;38700
"120 De Vissen";37200;37600;38100;38900;36200;37100;38200;38900
"121 Rietbuurt";35300;36800;39600;40300;39400;40900;41400;43100
"Onbekend";67100;-49323;484567;353450;199267;211700;31875;62000
